movieId,title,actors,director,keyWords,similarMovies,watchProviders
25,Leaving Las Vegas (1995),"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber",Mike Figgis,"individual, prostitute, alcohol, casino, love at first sight","Tales from the Crypt: Demon Knight, Young Guns II, S.W.A.T., 11:14, Final Destination 3","fuboTV, Paramount Plus Apple TV Channel , Showtime Apple TV Channel, Showtime Amazon Channel, Showtime, DIRECTV, Paramount+ Showtime"
26,Othello (1995),"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker, Michael Maloney",Oliver Parker,"jealousy, friends, the moors (people)","Harlem Nights, Snow White: A Tale of Terror, Thesis, Death Becomes Her, The Descent",
27,Now and Then (1995),"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann",Lesli Linka Glatter,"1970s, female friendship, coming of age, gynecologist, photocopier","The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, The Craft, Blue Crush, Beautiful Girls",
28,Persuasion (1995),"Amanda Root, Ciarán Hinds, Susan Fleetwood, Fiona Shaw, John Woodvine",Roger Michell,"based on novel or book, captain, napoleonic wars, old flame, admiral","Just Cause, Love Story, The Sword in the Stone, Broken Arrow, Nineteen Eighty-Four",
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork, Jean-Claude Dreyfus",Jean-Pierre Jeunet,"clone, dream, island, eye, dystopia","Waking Life, Hot Shots! Part Deux, Beautiful Girls, Monster House, Multiplicity",
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"Gong Li, Li Baotian, Sun Chun, Li Xuejian, Liu Jiang",Zhang Yimou,"shanghai, china, chinese mafia, coming of age, mistress, criminal underworld","Beautiful Girls, Risky Business, Ferris Bueller's Day Off, Above the Law, The Corruptor",
31,Dangerous Minds (1995),"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde",John N. Smith,"california, rap music, karate, high school, naval officer","The Faculty, John Tucker Must Die, High School High, The Mask of Zorro, Risky Business",
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse",Terry Gilliam,"schizophrenia, philadelphia, pennsylvania, stockholm syndrome, underground, time travel","Living in Oblivion, Broken Arrow, Witness, The Stronghold, Nineteen Eighty-Four",
34,Babe (1995),"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving, Miriam Flynn",Chris Noonan,"alarm clock, cat, duck, sheep, pig","The Family Stone, Jingle All the Way, The Jungle Book, Click, Surf's Up",Amazon Prime Video
36,Dead Man Walking (1995),"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry, R. Lee Ermey",Tim Robbins,"prison, rape, nun, socially deprived family, penalty","Just Cause, Young Guns II, The Longest Yard, Nacho Libre, One Hour Photo","Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, Hoopla"
38,It Takes Two (1995),"Kirstie Alley, Steve Guttenberg, Ashley Olsen, Mary-Kate Olsen, Jane Sibbett",Andy Tennant,"matchmaking, orphan, identical twin, relationship sabotage","The Jungle Book, The Glass House, Viridiana, My Best Friend's Wedding, Sister In Law","Starz Apple TV Channel, Starz Roku Premium Channel, Starz, DIRECTV, Starz Amazon Channel, CBS"
39,Clueless (1995),"Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd, Donald Faison",Amy Heckerling,"based on novel or book, puberty, high school, make a match, spoiled child","Just Cause, Love Story, The Brady Bunch Movie, The Sword in the Stone, To Wong Foo, Thanks for Everything! Julie Newmar","Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel"
40,"Cry, the Beloved Country (1995)","James Earl Jones, Charles S. Dutton, Jack Robinson, Tsholofelo Wechoemang, Ramalao Makhene",Darrell James Roodt,"based on novel or book, south africa, apartheid, priest, 1940s","Just Cause, Love Story, Europa, The Sword in the Stone, Nineteen Eighty-Four",Hoopla
41,Richard III (1995),"Ian McKellen, Annette Bening, Jim Broadbent, Robert Downey Jr., Kristin Scott Thomas",Richard Loncraine,"england, kidnapping, murder, king","Tristan & Isolde, Police Story, The Element of Crime, The Four Feathers, The Good Son","Max, HBO Max, Max Amazon Channel, DIRECTV"
42,Dead Presidents (1995),"Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez, Rose Jackson",Albert Hughes,"post traumatic stress disorder, drug abuse, war veteran, vietnam, heist","Welcome to Collinwood, Transporter 2, Cliffhanger, Nacho Libre, Above the Law",
43,Restoration (1995),"Robert Downey Jr., Meg Ryan, Sam Neill, David Thewlis, Hugh Grant",Michael Hoffman,"jealousy, medicine, fountain, court, wealth","Snow White: A Tale of Terror, Medicine Man, The Man in the Iron Mask, Death Becomes Her, Election",
44,Mortal Kombat (1995),"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson-Sampras",Paul W. S. Anderson,"saving the world, martial arts, monster, island, magic","The Cave, Police Story, The Sword in the Stone, The Four Feathers, Mary Reilly",HBO Max
45,To Die For (1995),"Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck, Illeana Douglas",Gus Van Sant,"adultery, based on novel or book, winter, obsession, new hampshire","Just Cause, Love Story, The Sword in the Stone, Nineteen Eighty-Four, The Jungle Book",Criterion Channel
46,How to Make an American Quilt (1995),"Winona Ryder, Anne Bancroft, Ellen Burstyn, Kate Nelligan, Jean Simmons",Jocelyn Moorhouse,"wedding vows, marriage proposal, married couple, monogamy, advice","10, The Brady Bunch Movie, Little Man, To Wong Foo, Thanks for Everything! Julie Newmar, John Tucker Must Die",
47,Seven (a.k.a. Se7en) (1995),"Brad Pitt, Morgan Freeman, Gwyneth Paltrow, R. Lee Ermey, John C. McGinley",David Fincher,"self-fulfilling prophecy, detective, s.w.a.t., drug dealer, evisceration","Confidential Assignment, Just Cause, Harlem Nights, The Faculty, Witness","fuboTV, Paramount Plus Apple TV Channel , Showtime Apple TV Channel, Showtime Amazon Channel, Showtime Roku Premium Channel, Showtime, DIRECTV, Paramount+ Showtime"
48,Pocahontas (1995),"Irene Bedard, Mel Gibson, David Ogden Stiers, John Kassir, Christian Bale",Mike Gabriel,"culture clash, forbidden love, colony, musical, gold rush","Tristan & Isolde, Young Guns II, American Dreamz, The Man in the Iron Mask, The Jungle Book",Disney Plus
49,When Night Is Falling (1995),"Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox, Don McKellar",Patricia Rozema,"professor, lgbt, woman director, lesbian","Just Cause, The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, John Tucker Must Die, Bound",
50,"Usual Suspects, The (1995)","Gabriel Byrne, Stephen Baldwin, Kevin Spacey, Chazz Palminteri, Kevin Pollak",Bryan Singer,"new york city, relatives, flashback, heist, police corruption","1:1 Thierry Henry, Little Man, To Wong Foo, Thanks for Everything! Julie Newmar, Welcome to Collinwood, Bound",Hoopla
52,Mighty Aphrodite (1995),"Woody Allen, Mira Sorvino, Helena Bonham Carter, F. Murray Abraham, Donald Symington",Woody Allen,"prostitute, adoption, adoptive father, childlessness, looking for  birth parents","Tales from the Crypt: Demon Knight, Little Man, Young Guns II, Monster House, Playground",Hoopla
53,Lamerica (1994),"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli, Elida Janushi",Gianni Amelio,,"He Got Game, The Creep Behind the Camera, Theorem, Dear Frankie, Little Voice",
54,"Big Green, The (1995)","Olivia d'Abo, Steve Guttenberg, Chauncey Leopardi, Patrick Renna, Billy L. Sullivan",Holly Goldberg Sloan,"sports, football (soccer), woman director","1:1 Thierry Henry, The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, Blue Crush, The Longest Yard",Disney Plus
55,Georgia (1995),"Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich, John Doe",Ulu Grosbard,"sibling relationship, alcohol, seattle, washington, heroin, artist","The Faculty, 11:14, American Dreamz, Look Who's Talking Too, Belushi's Toilet","Criterion Channel, CBS"
57,Home for the Holidays (1995),"Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning, Dylan McDermott",Jodie Foster,"generations conflict, baltimore, usa, thanksgiving, family clan, family conflict","The Family Stone, The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, Jingle All the Way, John Tucker Must Die",
58,"Postman, The (Postino, Il) (1994)","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa, Linda Moretti",Michael Radford,"island, letter, postman, naples, italy, fisherman","10, Mortal Kombat, Enter the Dragon, Spy Kids 2: The Island of Lost Dreams, Le Divorce",
60,"Indian in the Cupboard, The (1995)","Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins, Rishi Bhat",Frank Oz,"cupboard, games, puppet, based on children's book, parallel world","Waking Life, Jingle All the Way, Monster House, The Last Boy Scout, Dark City",
61,Eye for an Eye (1996),"Sally Field, Kiefer Sutherland, Ed Harris, Beverly D'Angelo, Charlayne Woodard",John Schlesinger,"rape, gun, self-defense, rape and revenge, grieving parents","Just Cause, 11:14, 2:37, The Game, Hard Candy","Amazon Prime Video, fuboTV, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, MGM Plus Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus Roku Premium Channel, MGM Plus"
62,Mr. Holland's Opus (1995),"Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis, William H. Macy",Stephen Herek,"husband wife relationship, composer, mentor, deaf-mute, portland, oregon","The Faculty, Jingle All the Way, John Tucker Must Die, High School High, American Dreamz",Disney Plus
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer, Vivica A. Fox",Paris Barclay,"date, slang, hip-hop, gangster, cousin","Police Story, Hot Shots! Part Deux, Hudson Hawk, Ali G Indahouse, Donnie Brasco",
64,Two if by Sea (1996),"Sandra Bullock, Denis Leary, Yaphet Kotto, Stephen Dillane, Tracey Cherelle Jones",Bill Bennett,"island, painting, thief, seasickness","Hudson Hawk, Mortal Kombat, Conan the Barbarian, Enter the Dragon, Spy Kids 2: The Island of Lost Dreams","Amazon Prime Video, Hoopla"
65,Bio-Dome (1996),"Pauly Shore, Stephen Baldwin, William Atherton, Joey Lauren Adams, Teresa Hill",Jason Bloom,"biotope, vegetarian, pollution, biosphere","Microcosmos, Nunal sa Tubig, Harry and the Hendersons, Adrift, No Defense","fuboTV, Paramount Plus Apple TV Channel , Showtime Apple TV Channel, Showtime Amazon Channel, Showtime Roku Premium Channel, Showtime, DIRECTV, Paramount+ Showtime"
66,Lawnmower Man 2: Beyond Cyberspace (1996),"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget, Camille Cooper",Farhad Mann,"technology, hacker, virtual reality, computer, sword fight","Tristan & Isolde, Police Story, Just Cause, The Four Feathers, John Tucker Must Die",
68,French Twist (Gazon maudit) (1995),"Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado, Catherine Hiegel",Josiane Balasko,"love triangle, southern france, estate agent, menage a trois, van","The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, John Tucker Must Die, Microcosmos, Look Who's Talking Too",
69,Friday (1995),"Ice Cube, Chris Tucker, Nia Long, Tom 'Tiny' Lister Jr., John Witherspoon",F. Gary Gray,"rap music, parent child relationship, drug dealer, male friendship, rapper","S.W.A.T., Blue Crush, The Good Son, The Faculty, Ali G Indahouse",
70,From Dusk Till Dawn (1996),"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu",Robert Rodriguez,"dancing, sibling relationship, showdown, sheriff, bank robber","Europa, Young Guns II, Eraser, The Avengers, Look Who's Talking Too","Max, Max Amazon Channel, HBO Max, DIRECTV, CBS"
71,Fair Game (1995),"William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald, Miguel Sandoval",Andrew Sipes,"bomb, miami, florida, spy, detective, handcuffs","Confidential Assignment, Police Story, Just Cause, Love Story, Living in Oblivion",
72,Kicking and Screaming (1995),"Josh Hamilton, Olivia d'Abo, Chris Eigeman, Parker Posey, Jason Wiles",Noah Baumbach,"male friendship, college, friendship, campus, video store","Love Story, Beautiful Girls, The Nutty Professor, The Big Hit, He Got Game","Netflix, Netflix basic with Ads"
73,"Misérables, Les (1995)","Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch, Annie Girardot",Claude Lelouch,"paris, france, nun, boxer, lawyer","Europa, Nacho Libre, Thir13en Ghosts, Renaissance, An American Werewolf in Paris",
74,Bed of Roses (1996),"Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin, Brian Tarantina",Michael Goldenberg,"florist, family relationships","Wuthering Heights, The Butterfly Tree, Signs, The Chronicles of Narnia: Prince Caspian, Forrest Gump",
75,Big Bully (1996),"Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane, Jeffrey Tambor",Steve Miner,bully,"Heathers, A Monster Calls, The Butterfly Effect, Stuck on You, Love, Simon",Amazon Prime Video
76,Screamers (1995),"Peter Weller, Jennifer Rubin, Roy Dupuis, Andrew Lauer, Liliana Komorowska",Christian Duguay,"man vs machine, alien planet, struggle for survival","Soldier, Prospect, Westworld, I, Robot, Flash Gordon",Amazon Prime Video
77,Nico Icon (1995),"Nico, Tina Aumont, Christian Aaron Boulogne, Jackson Browne, John Cale",Susanne Ofteringer,,,
78,"Crossing Guard, The (1995)","Jack Nicholson, David Morse, Anjelica Huston, Robin Wright, Piper Laurie",Sean Penn,"loss of loved one, hit-and-run, revenge, tragedy","Tristan & Isolde, Just Cause, The Element of Crime, The Four Feathers, The Good Son",
79,"Juror, The (1996)","Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, Anne Heche, James Gandolfini",Brian Gibson,"jurors, blackmail, court case, son, trial","The Longest Yard, Hudson Hawk, Red Corner, The Full Monty, In the Name of the King: A Dungeon Siege Tale",
80,"White Balloon, The (Badkonake sefid) (1995)","Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadr Orafaee, Anna Borkowska, Mohammad Shahani",Jafar Panahi,"fish, money, celebration, goldfish","Transporter 2, Cliffhanger, Nacho Libre, Payback, Sicko",Criterion Channel
81,Things to Do in Denver When You're Dead (1995),"Andy García, Christopher Lloyd, William Forsythe, Bill Nunn, Treat Williams",Gary Fleder,"bounty hunter, parent child relationship, boat, way of life, coffin","The Cave, Tristan & Isolde, Police Story, Just Cause, The Element of Crime",
82,Antonia's Line (Antonia) (1995),"Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop, Carolien Spoor",Marleen Gorris,"suicide, underdog, free love, philosophy, rape","Just Cause, The Brady Bunch Movie, Waking Life, To Wong Foo, Thanks for Everything! Julie Newmar, Eraser","Hoopla, Film Movement Plus"
83,Once Upon a Time... When We Were Colored (1995),"Al Freeman Jr., Phylicia Rashād, Paula Kelly, Salli Richardson-Whitfield, Anna Maria Horsford",Tim Reid,"racial segregation, family relationships, rural area","The Man in the Iron Mask, Tremors, Wuthering Heights, Signs, The Chronicles of Narnia: Prince Caspian",
85,Angels and Insects (1995),"Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp, Douglas Henshall",Philip Haas,"insect, class society, rich woman poor man, victorian england, scientist","Microcosmos, The Avengers, The Core, Species, Hollow Man",
86,White Squall (1996),"Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf, Jeremy Sisto",Ridley Scott,"sailing trip, diary, sailing, survival, coming of age","Beautiful Girls, John Tucker Must Die, The Core, Risky Business, Ferris Bueller's Day Off",
87,Dunston Checks In (1996),"Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett, Graham Sack",Ken Kwapis,"boss, fistfight, bully, orangutan, single father","Police Story, Broken Arrow, Jingle All the Way, Renaissance, Lionheart",
88,Black Sheep (1996),"Chris Farley, David Spade, Tim Matheson, Gary Busey, Chris Owen",Penelope Spheeris,"corrupt politician, nitrous oxide, candid camera, double act, political satire","The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, John Tucker Must Die, Microcosmos, Look Who's Talking Too","Max, Max Amazon Channel, HBO Max, DIRECTV"
89,Nick of Time (1995),"Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken, Roma Maffia",John Badham,"assassination, politics, los angeles, california","Europa, S.W.A.T., High School High, The Last Boy Scout, Clear and Present Danger","Amazon Prime Video, fuboTV, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, MGM Plus Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus Roku Premium Channel, MGM Plus, Sling TV Orange and Blue, CBS"
92,Mary Reilly (1996),"Julia Roberts, John Malkovich, George Cole, Michael Gambon, Glenn Close",Stephen Frears,"servant, monster, laboratory, jekyll and hyde, housemaid","Monster House, Mortal Kombat, The Nutty Professor, The Fly, Deep Rising",fuboTV
93,Vampire in Brooklyn (1995),"Angela Bassett, Eddie Murphy, Allen Payne, Kadeem Hardison, John Witherspoon",Wes Craven,"vampire, brooklyn, new york city","Bordello of Blood, Anger Management, The Intern, Dracula, 30 Days of Night","Max, Max Amazon Channel, HBO Max, DIRECTV"
94,Beautiful Girls (1996),"Timothy Hutton, Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",Ted Demme,"small town, massachusetts, friendship, coming of age, hometown","Just Cause, Risky Business, Tremors, Ferris Bueller's Day Off, Seven Days War","Paramount Plus Apple TV Channel , Showtime Roku Premium Channel, Hoopla"
95,Broken Arrow (1996),"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Frank Whaley",John Woo,"helicopter, river, captain, underground, mexican standoff","Flying Home, Police Story, Young Guns II, The Four Feathers, Eraser","fuboTV, DIRECTV"
96,In the Bleak Midwinter (1995),"Michael Maloney, Richard Briers, Joan Collins, Nicholas Farrell, Julia Sawalha",Kenneth Branagh,"transvestite, theatre group, black and white, hamlet, christmas","The Family Stone, Jingle All the Way, Renaissance, Glass Chin, Dead Men Don't Wear Plaid",
97,"Hate (Haine, La) (1995)","Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Souleymane Dicko",Mathieu Kassovitz,"paris, france, neo-nazism, police brutality, hip-hop, socially deprived family","Witness, Ali G Indahouse, Ferris Bueller's Day Off, Renaissance, An American Werewolf in Paris",Criterion Channel
99,Heidi Fleiss: Hollywood Madam (1995),"Nick Broomfield, Heidi Fleiss, Madam Alex, Ivan Nagy, Corinne Bohrer",Nick Broomfield,"narration, based on true story, hollywood, prostitution, sex crime","The Longest Day, The Jungle Book, Risky Business, Donnie Brasco, Daredevil",
100,City Hall (1996),"Al Pacino, John Cusack, Bridget Fonda, Danny Aiello, Martin Landau",Harold Becker,"corruption, undercover, war on drugs, mayor, drug dealer","Confidential Assignment, Police Story, Harlem Nights, Death to Smoochy, The Faculty","HBO Max, Hoopla"
101,Bottle Rocket (1996),"Owen Wilson, Luke Wilson, Robert Musgrave, Lumi Cavazos, Andrew Wilson",Wes Anderson,"sibling relationship, robbery, burglar, language barrier, motel","Welcome to Collinwood, 11:14, Cliffhanger, Look Who's Talking Too, Renaissance","Hulu, Max, Max Amazon Channel, HBO Max"
102,Mr. Wrong (1996),"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell, Joan Plowright",Nick Castle,,,
103,Unforgettable (1996),"Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald, David Paymer",John Dahl,"obsession, seattle, washington, suspicion of murder, dangerous, medical examiner","Tristan & Isolde, Police Story, Just Cause, The Element of Crime, The Four Feathers",
104,Happy Gilmore (1996),"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay, Carl Weathers",Dennis Dugan,"loss of loved one, golf, sports, taxes","1:1 Thierry Henry, Blue Crush, The Longest Yard, Flightplan, Nacho Libre",Amazon Prime Video
105,"Bridges of Madison County, The (1995)","Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak, Jim Haynie",Clint Eastwood,"adultery, love at first sight, based on novel or book, photographer, husband wife relationship","Just Cause, Love Story, Europa, The Sword in the Stone, Jingle All the Way",
106,Nobody Loves Me (Keiner liebt mich) (1994),"Maria Schrader, Pierre Sanoussi-Bliss, Michael von Au, Elisabeth Trissenaar, Joachim Król",Doris Dörrie,"prophecy, voodoo, single, falling in love, woman director","The Brady Bunch Movie, To Wong Foo, Thanks for Everything! Julie Newmar, Medicine Man, John Tucker Must Die, Microcosmos",
